review_text,无自定义词典分词,有自定义词典分词,差异说明
下单半小时就到了，鸡腿堡还冒着热气，外酥里嫩。,下单 / 半小时 / 鸡腿 / 热气,下单 / 半小时 / 鸡腿堡 / 热气,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
说不上好也说不上差，鸡腿堡凑合吃吧。,说不上 / 说不上 / 鸡腿 / 凑合,说不上 / 说不上 / 鸡腿堡 / 凑合,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
第一次点这家，烤翅惊艳到了，入口即化，五星好评！,第一次 / 这家 / 惊艳 / 入口 / 五星 / 好评,第一次 / 这家 / 烤翅 / 惊艳 / 入口 / 五星 / 好评,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
下单半小时就到了，石锅拌饭还冒着热气，鲜香可口。,下单 / 半小时 / 石锅 / 热气 / 鲜香 / 可口,下单 / 半小时 / 石锅拌饭 / 热气 / 鲜香 / 可口,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
服务态度好，上菜快，寿司拼盘满满幸福感，满意！,服务态度 / 上菜 / 寿司 / 拼盘 / 满满 / 幸福感 / 满意,服务态度 / 上菜 / 寿司拼盘 / 满满 / 幸福感 / 满意,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
送餐速度快，寿司拼盘味道口感细腻，包装也好看。,送餐 / 速度 / 寿司 / 拼盘 / 味道 / 口感 / 细腻 / 包装 / 好看,送餐 / 速度 / 寿司拼盘 / 味道 / 口感 / 细腻 / 包装 / 好看,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
服务态度好，上菜快，小鸡炖蘑菇入口即化，满意！外卖小哥很准时。,服务态度 / 上菜 / 小鸡 / 蘑菇 / 入口 / 满意 / 外卖 / 小哥 / 准时,服务态度 / 上菜 / 小鸡炖蘑菇 / 入口 / 满意 / 外卖 / 小哥 / 准时,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
味道真的鲜香可口，三文鱼刺身做得很地道，下次还会来。,味道 / 鲜香 / 可口 / 三文鱼 / 刺身 / 地道 / 下次 / 还会来,味道 / 鲜香 / 可口 / 三文鱼刺身 / 地道 / 下次 / 还会来,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
这家店从不让人失望，牛排外酥里嫩，价格也合理。,这家 / 不让 / 失望 / 牛排 / 价格 / 合理,这家 / 不让 / 失望 / 排外 / 酥里 / 价格 / 合理,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
环境干净整洁，烤生蚝味道口感细腻，值得回购。外卖小哥很准时。,环境 / 干净 / 整洁 / 烤生 / 味道 / 口感 / 细腻 / 值得 / 回购 / 外卖 / 小哥 / 准时,环境 / 干净 / 整洁 / 烤生蚝 / 味道 / 口感 / 细腻 / 值得 / 回购 / 外卖 / 小哥 / 准时,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
味道真的入口即化，酸菜白肉做得很地道，下次还会来。送了一杯酸梅汤。,味道 / 入口 / 酸菜 / 白肉 / 地道 / 下次 / 还会来 / 一杯 / 酸梅汤,味道 / 入口 / 酸菜白肉 / 地道 / 下次 / 还会来 / 一杯 / 酸梅汤,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
辣椒炒肉腥味很重，根本没法吃，咸得发苦。给的勺子很贴心。,辣椒 / 炒肉 / 腥味 / 根本 / 没法 / 咸得 / 发苦 / 勺子 / 贴心,辣椒炒肉 / 腥味 / 根本 / 没法 / 咸得 / 发苦 / 勺子 / 贴心,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
小炒肉腥味很重，根本没法吃，又冷又硬。送了一杯酸梅汤。,小炒 / 腥味 / 根本 / 没法 / 一杯 / 酸梅汤,小炒肉 / 腥味 / 根本 / 没法 / 一杯 / 酸梅汤,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
食材新鲜，烤茄子分量感人，入口即化，满分！,食材 / 新鲜 / 茄子 / 分量 / 感人 / 入口 / 满分,食材 / 新鲜 / 烤茄子 / 分量 / 感人 / 入口 / 满分,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
环境干净整洁，辣椒炒肉味道鲜香可口，值得回购。送了一杯酸梅汤。,环境 / 干净 / 整洁 / 辣椒 / 炒肉 / 味道 / 鲜香 / 可口 / 值得 / 回购 / 一杯 / 酸梅汤,环境 / 干净 / 整洁 / 辣椒炒肉 / 味道 / 鲜香 / 可口 / 值得 / 回购 / 一杯 / 酸梅汤,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
这家店从不让人失望，烤茄子口感细腻，价格也合理。,这家 / 不让 / 失望 / 茄子 / 口感 / 细腻 / 价格 / 合理,这家 / 不让 / 失望 / 烤茄子 / 口感 / 细腻 / 价格 / 合理,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
味道一般般吧，西湖醋鱼还可以，没什么特别的感觉。,味道 / 一般般 / 西湖 / 没什么 / 特别,味道 / 一般般 / 西湖醋鱼 / 没什么 / 特别,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
食材新鲜，天妇罗分量感人，外酥里嫩，满分！包装很结实。,食材 / 新鲜 / 天妇 / 分量 / 感人 / 满分 / 包装 / 结实,食材 / 新鲜 / 天妇罗 / 分量 / 感人 / 满分 / 包装 / 结实,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
下单半小时就到了，龙井虾仁还冒着热气，入口即化。包装很结实。,下单 / 半小时 / 龙井 / 虾仁 / 热气 / 入口 / 包装 / 结实,下单 / 半小时 / 龙井虾仁 / 热气 / 入口 / 包装 / 结实,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
送餐速度快，天妇罗味道正宗地道，包装也好看。,送餐 / 速度 / 天妇 / 味道 / 正宗 / 地道 / 包装 / 好看,送餐 / 速度 / 天妇罗 / 味道 / 正宗 / 地道 / 包装 / 好看,自定义词典使菜名、店名或餐饮短语更容易被识别为完整词
